”Ô†,ain1,ain2,ain3
1
2
3
4
5
6
7
8
9
10
11
12
13
14,?,?,?
15,0.408,0.524,0.326
16,0.4,0.35,0.443
17,0.541,0.531,0.413
18
19,0.392,0.511,0.39
20,0.552,0.452,0.558
21
22
23
24
25
26
27
28
29,0.457,"0,473",0.395
30
